batch_id,function_name,action,test_formula,expected_result
10,ODDLPRICE,unsupported_nimpl,=ODDLPRICE(1),
10,ODDLYIELD,unsupported_nimpl,=ODDLYIELD(1),
10,PERCENTRANK,unsupported_nimpl,=PERCENTRANK(1),
10,PERCENTRANK.EXC,unsupported_nimpl,=PERCENTRANK.EXC(1),
10,PERCENTRANK.INC,unsupported_nimpl,=PERCENTRANK.INC(1),
10,PHONETIC,unsupported_nimpl,=PHONETIC(1),
10,PIVOTBY,unsupported_nimpl,=PIVOTBY(1),
10,PRICE,unsupported_nimpl,=PRICE(1),
10,PRICEDISC,unsupported_nimpl,=PRICEDISC(1),
10,PRICEMAT,unsupported_nimpl,=PRICEMAT(1),
10,PROB,unsupported_nimpl,=PROB(1),
10,QUERY,unsupported_nimpl,=QUERY(1),
10,RANDARRAY,unsupported_nimpl,=RANDARRAY(1),
11,RECEIVED,unsupported_nimpl,=RECEIVED(1),
11,REDUCE,unsupported_nimpl,=REDUCE(1),
11,REGEXEXTRACT,unsupported_nimpl,=REGEXEXTRACT(1),
11,REGEXMATCH,unsupported_nimpl,=REGEXMATCH(1),
11,REGEXREPLACE,unsupported_nimpl,=REGEXREPLACE(1),
11,REGISTER.ID,unsupported_nimpl,=REGISTER.ID(1),
11,RTD,unsupported_nimpl,=RTD(1),
11,SCAN,unsupported_nimpl,=SCAN(1),
11,SERIESSUM,unsupported_nimpl,=SERIESSUM(1),
12,SORT,unsupported_nimpl,=SORT(1),
12,SORTBY,unsupported_nimpl,=SORTBY(1),
12,SORTN,unsupported_nimpl,=SORTN(1),
12,SPARKLINE,unsupported_nimpl,=SPARKLINE(1),
12,SPLIT,unsupported_nimpl,=SPLIT(1),
12,STOCKHISTORY,unsupported_nimpl,=STOCKHISTORY(1),
12,SUMPRODUCT,unsupported_nimpl,=SUMPRODUCT(1),
13,TEXTSPLIT,unsupported_nimpl,=TEXTSPLIT(1),
13,TREND,unsupported_nimpl,=TREND(1),
13,TRIMMEAN,unsupported_nimpl,=TRIMMEAN(1),
13,TRIMRANGE,unsupported_nimpl,=TRIMRANGE(1),
13,UNIQUE,unsupported_nimpl,=UNIQUE(1),
13,VDB,unsupported_nimpl,=VDB(1),
14,WEBSERVICE,unsupported_nimpl,=WEBSERVICE(1),
14,XMATCH,unsupported_nimpl,=XMATCH(1),
14,YIELD,unsupported_nimpl,=YIELD(1),
14,YIELDDISC,unsupported_nimpl,=YIELDDISC(1),
14,YIELDMAT,unsupported_nimpl,=YIELDMAT(1),
