function_name,excel,sheets,ironcalc,hyperformula,group
ADDRESS,Y,Y,N,Y,Lookup/Ref
ARRAYFORMULA,N,Y,N,Y,Array/Matrix
ARRAY_CONSTRAIN,N,Y,N,Y,Array/Matrix
CHAR,Y,Y,N,Y,Text
CLEAN,Y,Y,N,Y,Text
CODE,Y,Y,N,Y,Text
COUNTUNIQUE,N,Y,N,Y,Aggregation
CRITBINOM,Y,Y,N,Y,Statistical
FILTER,Y,Y,N,Y,Array/Matrix
FTEST,Y,Y,N,Y,Statistical
FVSCHEDULE,Y,Y,N,Y,Math/Financial
GAMMADIST,Y,Y,N,Y,Statistical
GAMMAINV,Y,Y,N,Y,Statistical
HYPERLINK,Y,Y,N,Y,Lookup/Ref
HYPGEOMDIST,Y,Y,N,Y,Statistical
MMULT,Y,Y,N,Y,Array/Matrix
MULTINOMIAL,Y,Y,N,Y,Math/Financial
NEGBINOMDIST,Y,Y,N,Y,Statistical
PROPER,Y,Y,N,Y,Text
REPLACE,N,Y,N,Y,Text
SERIESSUM,Y,Y,N,Y,Math/Financial
SPLIT,N,Y,N,Y,Array/Matrix
SUMPRODUCT,Y,Y,N,Y,Math/Financial
TRANSPOSE,Y,Y,N,Y,Array/Matrix
TTEST,Y,Y,N,Y,Statistical
UNICHAR,Y,Y,N,Y,Text
